Sample,Class,Li,Be,B,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Nb,Mo,Ag,Cd,Cs,Ba,Ta,W,Tl,Pb
S_244,Class_3,10.93 ,0.23 ,259.71 ,992747.76 ,695699.32 ,1313.87 ,15480.67 ,4807584.64 ,3938834.35 ,21878.54 ,247.58 ,12.67 ,18.65 ,154.63 ,4301.29 ,8.55 ,18.36 ,806.22 ,10261.94 ,0.00 ,0.00 ,2025.15 ,912.82 ,2280.76 ,366.77 ,13.55 ,10.27 ,0.41 ,0.51 ,61.93 ,15.59 ,16.62 ,1.00 ,0.66 ,3.84 
S_245,Class_3,17.46 ,0.27 ,367.35 ,2189533.79 ,1082220.75 ,1026.20 ,15348.32 ,7698948.79 ,6165270.22 ,34593.93 ,135.41 ,29.84 ,10.19 ,240.47 ,5618.87 ,15.01 ,23.42 ,1199.33 ,16133.22 ,0.00 ,0.44 ,3975.81 ,1171.16 ,3602.24 ,712.65 ,11.64 ,18.41 ,0.40 ,1.55 ,80.00 ,16.52 ,25.21 ,0.84 ,1.01 ,1.78 
S_246,Class_3,22.03 ,0.32 ,427.61 ,2382535.59 ,1132302.79 ,1649.13 ,15242.10 ,8332925.63 ,6672492.92 ,36565.47 ,193.07 ,18.19 ,46.57 ,275.23 ,7087.12 ,15.90 ,30.01 ,1270.14 ,18428.96 ,0.00 ,0.50 ,3853.25 ,1325.64 ,3783.03 ,745.13 ,11.53 ,14.86 ,0.63 ,1.20 ,90.51 ,12.57 ,17.41 ,1.00 ,0.96 ,2.99 
S_247,Class_3,26.40 ,0.30 ,768.90 ,2182876.20 ,991462.20 ,1134.60 ,113652.90 ,8285763.90 ,12274378.50 ,64610.40 ,536.40 ,10.20 ,15.60 ,152.40 ,5858.70 ,11.10 ,19.50 ,828.60 ,9838.50 ,0.30 ,0.00 ,1046.10 ,712.50 ,2925.90 ,1222.50 ,3.30 ,11.40 ,0.00 ,0.30 ,74.70 ,114.00 ,3.30 ,0.30 ,0.30 ,1.80 
S_248,Class_3,24.00 ,0.00 ,512.70 ,2264530.50 ,1201569.60 ,531.90 ,106455.90 ,9517733.40 ,13903321.20 ,52067.70 ,574.20 ,8.10 ,55.20 ,162.60 ,6147.90 ,12.90 ,5.70 ,1160.10 ,11720.70 ,0.00 ,0.00 ,1194.30 ,835.20 ,3741.60 ,1011.60 ,3.30 ,17.40 ,0.30 ,0.30 ,100.20 ,36.00 ,6.60 ,0.00 ,0.60 ,1.20 
S_249,Class_3,13.50 ,0.30 ,436.50 ,1455187.20 ,879577.20 ,2099.70 ,118157.70 ,7733110.20 ,10863657.00 ,48815.70 ,582.30 ,21.00 ,118.20 ,147.60 ,8503.80 ,7.20 ,19.50 ,670.20 ,8148.30 ,0.30 ,0.00 ,1234.50 ,647.70 ,2567.10 ,752.10 ,2.10 ,11.10 ,0.00 ,0.30 ,66.30 ,74.10 ,2.40 ,0.30 ,0.30 ,4.50 
S_250,Class_3,15.00 ,0.00 ,495.60 ,1248211.50 ,696519.30 ,1404.60 ,66543.60 ,6184968.00 ,8657413.80 ,39114.30 ,414.00 ,5.70 ,18.30 ,104.70 ,3876.00 ,6.00 ,802.50 ,753.30 ,6761.10 ,0.60 ,0.60 ,1056.60 ,515.10 ,2042.10 ,730.80 ,26.10 ,9.00 ,2.40 ,0.30 ,53.70 ,88.80 ,16.20 ,4.50 ,0.30 ,0.60 
S_251,Class_3,15.90 ,0.30 ,476.40 ,1590270.60 ,906840.00 ,6402.30 ,107063.40 ,7645345.20 ,11292939.00 ,71279.40 ,526.50 ,7.50 ,13.50 ,157.50 ,3881.40 ,7.50 ,8.40 ,584.70 ,8172.90 ,1.20 ,0.30 ,1269.30 ,673.50 ,2654.70 ,1040.10 ,6.30 ,8.40 ,0.30 ,0.30 ,68.70 ,86.40 ,4.80 ,0.60 ,0.30 ,1.20 
S_252,Class_3,29.40 ,0.00 ,939.30 ,2623136.10 ,963879.60 ,1125.30 ,97590.30 ,8119101.60 ,11492287.50 ,52966.80 ,554.70 ,9.90 ,65.70 ,185.10 ,5790.90 ,8.70 ,26.10 ,779.40 ,9206.10 ,0.30 ,0.30 ,1176.00 ,667.20 ,2943.30 ,1131.00 ,7.50 ,10.20 ,0.30 ,0.30 ,67.50 ,30.30 ,5.40 ,0.60 ,0.30 ,1.20 
S_253,Class_3,26.40 ,0.00 ,925.80 ,2105605.20 ,903480.90 ,1585.80 ,63029.40 ,7708803.90 ,10344932.70 ,61770.00 ,516.90 ,8.40 ,12.00 ,163.50 ,6240.60 ,6.60 ,19.20 ,669.60 ,8946.00 ,0.60 ,0.60 ,1096.20 ,607.50 ,2732.40 ,1357.20 ,58.80 ,13.20 ,0.30 ,1.80 ,65.40 ,48.90 ,37.50 ,8.40 ,0.30 ,0.30 
